App;Open;date
youtube;openedApp;2023-03-28T20:42:12Z
youtube;openedApp;2023-03-28T20:51:26Z
youtube;openedApp;2023-03-29T15:53:42Z
youtube;openedApp;2023-03-29T16:04:09Z
youtube;openedApp;2023-03-30T08:25:30Z
twitter;openedApp;2023-03-30T16:05:21Z
twitter;openedApp;2023-03-30T16:07:53Z
mydealz;openedApp;2023-03-31T07:19:53Z
mydealz;openedApp;2023-03-31T10:36:11Z
mydealz;openedApp;2023-03-31T16:45:00Z
youtube;openedApp;2023-04-02T12:28:33Z
mydealz;openedApp;2023-04-02T17:20:05Z
youtube;openedApp;2023-04-02T19:50:47Z
mydealz;openedApp;2023-04-02T20:14:09Z
youtube;openedApp;2023-04-02T20:14:29Z
youtube;openedApp;2023-04-02T20:36:10Z
youtube;openedApp;2023-04-03T15:02:21Z
youtube;openedApp;2023-04-03T17:53:50Z
mydealz;dismissedAppOpening;2023-04-03T19:55:41Z
youtube;openedApp;2023-04-03T20:54:54Z
youtube;openedApp;2023-04-04T06:45:38Z
mydealz;openedApp;2023-04-04T08:57:56Z
youtube;openedApp;2023-04-04T11:00:59Z
youtube;openedApp;2023-04-04T11:58:04Z
youtube;openedApp;2023-04-04T15:35:26Z
youtube;openedApp;2023-04-04T20:05:27Z
youtube;dismissedAppOpening;2023-04-04T20:51:45Z
youtube;dismissedAppOpening;2023-04-04T20:51:48Z
mydealz;dismissedAppOpening;2023-04-05T07:02:27Z
youtube;openedApp;2023-04-05T15:26:00Z
youtube;openedApp;2023-04-05T16:16:36Z
mydealz;dismissedAppOpening;2023-04-06T06:00:05Z
youtube;openedApp;2023-04-06T06:20:22Z
youtube;openedApp;2023-04-06T06:33:09Z
youtube;openedApp;2023-04-06T08:20:10Z
youtube;dismissedAppOpening;2023-04-06T08:36:00Z
youtube;openedApp;2023-04-06T08:36:23Z
youtube;openedApp;2023-04-06T08:38:33Z
youtube;openedApp;2023-04-06T09:30:59Z
mydealz;openedApp;2023-04-06T20:49:48Z
mydealz;dismissedAppOpening;2023-04-06T21:09:15Z
mydealz;openedApp;2023-04-06T21:16:13Z
mydealz;dismissedAppOpening;2023-04-06T21:30:46Z
mydealz;openedApp;2023-04-06T21:33:23Z
youtube;dismissedAppOpening;2023-04-06T21:48:24Z
youtube;openedApp;2023-04-06T21:48:52Z
youtube;openedApp;2023-04-06T22:14:37Z
youtube;openedApp;2023-04-07T07:07:49Z
mydealz;openedApp;2023-04-07T07:23:38Z
youtube;openedApp;2023-04-07T07:45:40Z
