ID;date;device;type;os;category;superCategory;time_spent;frequency
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;420;12
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Social Media;Social Media;420;1
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Social Media;Social Media;360;5
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Social Media;Social Media;360;6
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Photos;Entertainment;360;7
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;240;5
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Shopping ;Entertainment;180;1
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Food;Other;180;4
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;System;Other;180;3
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Shopping ;Entertainment;120;1
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Study / Learning;Study / Work ICT;60;1
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Shopping ;Entertainment;60;1
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;60;2
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;Health / Wellbeing;Other;60;1
hwyr5z1l;2023-05-04 00:00:00+00:00;phone;app;ios;System;Other;180;1
hwyr5z1l;2023-05-04 00:00:00+00:00;tablet;app;ios;Study / Learning;Study / Work ICT;9840;3
hwyr5z1l;2023-05-04 00:00:00+00:00;tablet;app;ios;Study / Learning;Study / Work ICT;2460;1
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Navigation;Other;2100;3
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;1380;15
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;900;27
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Video;Entertainment;600;1
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;540;27
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Food;Other;360;7
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;300;8
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Mobility;Other;240;9
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;240;5
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Research;Study / Work ICT;240;1
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;System;Other;120;4
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Health / Wellbeing;Other;60;1
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Mobility;Other;60;5
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;News;Entertainment;60;4
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;Social Media;Social Media;60;1
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;System;Other;60;2
hwyr5z1l;2023-05-05 00:00:00+00:00;phone;app;ios;System;Other;60;1
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;System;Other;4140;7
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;1140;15
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;1080;7
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;System;Other;1080;1
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Shopping ;Entertainment;660;1
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;600;28
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Mobility;Other;540;9
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;360;7
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Sport;Other;300;1
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;180;3
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Study / Learning;Study / Work ICT;120;11
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;60;3
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Video;Entertainment;60;1
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Social Media;Social Media;60;2
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Mobility;Other;60;1
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Photos;Entertainment;60;1
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Health / Wellbeing;Other;60;4
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Food;Other;60;1
hwyr5z1l;2023-05-06 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;60;1
hwyr5z1l;2023-05-06 00:00:00+00:00;tablet;app;ios;Video;Entertainment;4620;1
hwyr5z1l;2023-05-06 00:00:00+00:00;tablet;app;ios;System;Other;840;10
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Video;Entertainment;3300;7
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Navigation;Other;1320;2
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;960;7
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;System;Other;960;1
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Health / Wellbeing;Other;360;13
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;300;16
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;300;9
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Navigation;Other;240;1
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;240;2
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Health / Wellbeing;Other;60;3
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Mobility;Other;60;3
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Sport;Other;60;4
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Social Media;Social Media;60;3
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;60;4
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Shopping ;Entertainment;60;1
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;60;3
hwyr5z1l;2023-05-07 00:00:00+00:00;phone;app;ios;Mobility;Other;60;5
hwyr5z1l;2023-05-07 00:00:00+00:00;tablet;app;ios;Video;Entertainment;4260;1
