ID,date,device,type,os,name,category,superCategory,time_spent,frequency
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,1560,33
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,1440,49
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Navigator(DBErsatz),Mobility,Other,540,28
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,DBNavigator,Mobility,Other,480,3
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,WhatsApp,Messenger,Communication ICT,420,13
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Bereal,Social Media,Social Media,300,8
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,240,10
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Revolut,Finance,Other,180,7
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,120,4
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Kalender,System,Other,120,2
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Erinnerungen,System,Other,60,3
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Signal,Messenger,Communication ICT,60,3
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Telegram,Messenger,Communication ICT,60,1
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Rechner,System,Other,60,1
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,app,ios,Wikipedia,Research,Study / Work ICT,60,1
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,website,ios,raceresult.com,Sport,Other,420,1
hwyr5z1l,2023-05-01 00:00:00+00:00,phone,website,ios,mccoupon.deals,Food,Other,300,1
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,9060,8
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,2280,18
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,1260,23
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,1020,39
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,Navigator(DBErsatz),Mobility,Other,780,27
